"icao","lat","lon","type","size","name","city","state","country","elev","surfaceType","longestRwy","services"
"5MI1","43.251399994","-85.5428009","civil","488","Wilds Field","Cedar Springs","Michigan","United States","884","5","1599","0"
"5MI2","44.077201843","-85.43759918","civil","549","McQuestion's","Leroy","Michigan","United States","1316","5","1799","0"
"5MI3","43.051101685","-85.41999817","civil","610","Cridler","Lowell","Michigan","United States","869","5","1999","0"
"5MI4","43.428398132","-85.45480347","civil","661","Anderson","Howard City","Michigan","United States","901","5","2169","0"
"5MI7","42.361099243","-84.42479706","civil","914","Williams Field","Jackson","Michigan","United States","959","5","2999","0"
"5MI8","42.671699524","-84.48829651","civil","401","Lakeside","Holt","Michigan","United States","899","5","1313","0"
"5MN1","44.200500488","-94.11329651","civil","679","Budde","Mankato","Minnesota","United States","974","5","2227","0"
"5MN2","47.395801544","-95.36750031","civil","762","Hoiland Field","Bagley","Minnesota","United States","1534","5","2499","0"
"5MN4","45.412498474","-94.0766983","civil","640","Seven Hills","Clearwater","Minnesota","United States","1009","5","2099","0"
"5MN5","45.436401367","-92.8348999","civil","503","Barnes","Lindstrom","Minnesota","United States","944","5","1649","0"
"5MN6","47.156398773","-93.52390289","water","999","Northbound","Grand Papids","Minnesota","United States","1272","11","4999","0"
"5MN7","46.388000488","-93.91690063","civil","4328","Lindey's Landing","Deerwood","Minnesota","United States","1294","11","9999","3"
"5MN8","45.719398499","-96.31030273","civil","1780","Rick Mathias Private","Dumont","Minnesota","United States","1049","5","3199","0"
"5MN9","48.423599243","-96.12889862","civil","732","Chanlin Field","Middle River","Minnesota","United States","1146","5","2399","0"
"5MO","39.594398499","-94.46269989","civil","640","Plattsburg","Plattsburg","Missouri","United States","1019","1","2099","0"
"5MO1","39.38420105","-92.376297","civil","792","Irons","Moberly","Missouri","United States","859","5","2599","0"
"5MO3","36.940601349","-93.95739746","civil","610","Bil-Mitch","Monett","Missouri","United States","1341","5","1999","0"
"5MO6","38.093898773","-94.34719849","civil","762","Apache Flats","Rich Hill","Missouri","United States","819","5","2499","0"
"5MO9","39.982498169","-92.86440277","civil","594","Oak Ridge Farms","New Boston","Missouri","United States","994","5","1949","0"
"5MS1","32.954299927","-90.84590149","civil","1119","Rollang Field","Rolling Fork","Mississippi","United States","105","5","3669","0"
"5MS2","30.250799179","-89.4509964","civil","610","Turkey Bayou Airpark","Lakeshore","Mississippi","United States","8","2","1999","0"
"5MS3","31.174999237","-89.80310059","civil","610","Porter","Columbia","Mississippi","United States","157","5","1999","0"
"5MS4","32.592601776","-89.92520142","civil","701","Walnut Creek","Canton","Mississippi","United States","314","5","2299","0"
"5MS5","30.545200348","-89.46279907","civil","1524","Mint Julep Airpark","Picayune","Mississippi","United States","99","5","4999","0"
"5N2","45.542999268","-90.27929688","civil","991","Prentice Mun","Prentice","Wisconsin","United States","1577","1","3249","0"
"5N3","42.447299957","-76.59690094","civil","1189","Grund","Ithaca","New York","United States","1452","5","3899","0"
"5N4","46.62720108","-97.62039948","civil","1529","Sky Haven","Enderlin","North Dakota","United States","1146","1","2860","0"
"5N5","42.000400543","-75.7602005","civil","1021","Kirkwood","Kirkwood","New York","United States","869","5","3349","0"
"5N7","43.097198486","-86.09459686","civil","1097","Hat","Nunica","Michigan","United States","624","5","3599","0"
"5N8","46.854698181","-97.20870209","civil","1187","Casselton Regl","Casselton","North Dakota","United States","931","2","3894","0"
"5NA0","47.773601532","-101.2789993","civil","945","Semchenko","Max","North Dakota","United States","2064","5","1999","0"
"5NA1","46.650001526","-98.7440033","civil","914","Barnick Airstrip","Millarton","North Dakota","United States","1517","5","2999","0"
"5NA2","47.537799835","-97.36370087","civil","671","Haugen Farm Airstrip","Portland","North Dakota","United States","1001","5","2199","0"
"5NA3","47.189201355","-100.4240036","civil","914","Ghylin","Regan","North Dakota","United States","2029","5","2999","0"
"5NA4","48.816101074","-99.40000153","civil","488","Wc0m","Rock Lake","North Dakota","United States","1696","5","1599","0"
"5NA6","48.533298492","-100.3190002","civil","442","Anderson Airstrip","Willow City","North Dakota","United States","1484","5","1449","0"
"5NA7","48.468299866","-101.6809998","civil","1219","Hanson Strip","Carpio","North Dakota","United States","1814","5","1999","0"
"5NA8","47.863399506","-103.9069977","civil","945","Lassey Farm Strip","Cartwright","North Dakota","United States","1899","5","1749","0"
"5NC0","35.250198364","-77.77050018","civil","597","Smith Farm","La Grange","North Carolina","United States","56","5","1959","0"
"5NC1","35.793201447","-80.51229858","civil","610","Tara Airbase","Mocksville","North Carolina","United States","755","5","1999","0"
"5NC2","34.876300812","-80.61920166","civil","518","Lathan Strip","Monroe","North Carolina","United States","574","5","1699","0"
"5NC3","35.341701508","-79.43689728","civil","774","Gilliam - McConnell Airfield","Carthage","North Carolina","United States","444","1","2537","0"
"5NC5","35.981498718","-79.27310181","civil","732","The Duchy","Chapel Hill","North Carolina","United States","649","5","2399","0"
"5ND0","48.076400757","-104.0319977","civil","914","Stiehl","Buford","North Dakota","United States","2276","5","1599","0"
"5ND1","46.697799683","-103.8909988","civil","2073","Finneman Pvt","Golva","North Dakota","United States","2759","5","2499","0"
"5ND3","48.855499268","-97.3219986","civil","975","Craig Private","Bathgate","North Dakota","United States","799","4","1599","0"
"5ND4","46.143600464","-97.24310303","civil","457","Tesch Strip","Lidgerwood","North Dakota","United States","1113","5","1499","0"
"5ND5","46.533901215","-98.14929962","civil","792","Nelson Private","Litchville","North Dakota","United States","1439","5","2599","0"
"5ND7","46.920501709","-100.8460007","civil","914","Kinnischtzke","Bismarck","North Dakota","United States","1824","5","2999","0"
"5ND9","47.484699249","-97.07479858","civil","1341","Deck","Hillsboro","North Dakota","United States","915","5","4399","0"
"5NE0","41.156101227","-103.3990021","civil","1463","Bar J Lazy V","Potter","Nebraska","United States","4579","5","2699","0"
"5NE1","41.549999237","-100.8339996","civil","351","Trumbull Ranch","Ringgold","Nebraska","United States","3259","5","1149","0"
"5NE2","40.195800781","-95.62940216","civil","732","Eickhoff Strip","Shubert","Nebraska","United States","999","5","2399","0"
"5NE3","41.487499237","-100.487999","civil","610","Diamond Bar Jones","Stapleton","Nebraska","United States","2899","5","1999","0"
"5NE4","41.572200775","-101.1719971","civil","549","Snyder Ranch","Sutherland","Nebraska","United States","3329","5","1799","0"
"5NE5","41.206699371","-101.1429977","civil","1036","Trego","Sutherland","Nebraska","United States","2956","5","3399","0"
"5NE6","40.25","-101.0999985","civil","610","Bakers Acres","Trenton","Nebraska","United States","2949","5","1999","0"
"5NE9","40.733299255","-102.0500031","civil","792","Dodson Brothers","Venango","Nebraska","United States","3574","5","2599","0"
"5NI","63.017398834","-154.3639984","civil","716","Nikolai","Nikolai","Alaska","United States","412","6","2349","0"
"5NJ2","40.59180069","-74.84130096","civil","853","Herr Mountain","Stanton","New Jersey","United States","559","5","2799","0"
"5NK","58.732898712","-157.0200043","civil","1158","Naknek","Naknek","Alaska","United States","69","6","1949","0"
"5NK0","44.044200897","-76.14360046","civil","914","Salubrious Point","Chaumont","New York","United States","294","5","2999","0"
"5NK1","43.111198425","-77.05390167","civil","610","Toggenburg Farms","Newark","New York","United States","434","5","1999","0"
"5NK5","43.408699036","-76.44129944","civil","503","Kingdom Field","Oswego","New York","United States","379","5","1649","0"
"5NN","59.979000092","-154.8399963","civil","1128","Nondalton","Nondalton","Alaska","United States","309","6","2799","0"
"5NY1","42.399799347","-74.90630341","civil","914","Tomahawk Hills","Meridale","New York","United States","2379","5","2999","0"
"5NY3","42.492900848","-76.38690186","civil","610","Keech","Etna","New York","United States","1069","5","1999","0"
"5NY4","43.157600403","-75.43070221","civil","610","Stanwix Heights","Rome","New York","United States","609","5","1999","0"
"5NY5","41.666801453","-74.14959717","civil","732","Gardiner","Gardiner","New York","United States","339","2","2399","0"
"5NY7","41.327899933","-74.40989685","civil","457","Rolling Hills","Goshen","New York","United States","409","5","1499","0"
"5O1","36.141700745","-99.30319977","civil","782","Vici Mun","Vici","Oklahoma","United States","2267","1","2564","0"
"5OH0","40.904800415","-83.6446991","civil","305","Alge","Arlington","Ohio","United States","856","5","999","0"
"5OH4","41.729198456","-80.8789978","civil","1097","Armington","Austinburg","Ohio","United States","819","5","3599","0"
"5OH6","41.431999207","-81.97489929","civil","853","Johnsons Fld","Avon","Ohio","United States","699","5","2799","0"
"5OH7","41.44670105","-82.00710297","civil","805","Keller","Avon","Ohio","United States","691","5","2639","0"
"5OH9","40.697200775","-81.17919922","civil","805","Furey","Malvern","Ohio","United States","1049","5","2639","0"
"5OI0","39.284198761","-84.21130371","civil","503","Rohrer","Loveland","Ohio","United States","799","5","1649","0"
"5OI3","41.413700104","-80.52480316","civil","564","Sheets Field","Kinsman","Ohio","United States","1224","5","1849","0"
"5OI5","40.693401337","-84.78050232","civil","792","Hamrick","Willshire","Ohio","United States","809","5","2599","0"
"5OI6","39.276699066","-81.58540344","civil","610","Snider's","Belpre","Ohio","United States","639","5","1999","0"
"5OI7","41.592498779","-83.37550354","civil","792","Gruetter","Curtice","Ohio","United States","599","5","2599","0"
"5OI8","40.190299988","-82.65460205","civil","579","McKnight","Johnstown","Ohio","United States","1171","5","1899","0"
"5OI9","41.327800751","-84.55770111","civil","518","Rogers Private","Sherwood","Ohio","United States","724","5","1699","0"
"5OK0","36.144500732","-94.78769684","civil","529","Cookson Hills Christian School","Kansas","Oklahoma","United States","1059","5","1734","0"
"5OK3","36.488399506","-95.14389801","civil","1219","Stearmans Roost","Vinita","Oklahoma","United States","701","5","3999","0"
"5OK4","35.11700058","-97.45059967","civil","806","Pacer Field","Goldsby","Oklahoma","United States","1139","5","2644","0"
"5OK6","35.712600708","-97.36699677","civil","792","Woodleaf Aero Estates","Edmond","Oklahoma","United States","1200","5","2599","0"
"5OK8","34.675098419","-97.85590363","civil","792","Alford A. Bratcher","Marlow","Oklahoma","United States","1099","5","2599","0"
"5OK9","36.189201355","-95.54029846","civil","975","Night Hawk Airpatch","Inola","Oklahoma","United States","669","5","1899","0"
"5OR0","42.28509903","-123.5329971","civil","732","Backachers Ranch","Selma","Oregon","United States","1459","5","2399","0"
"5OR2","45.103199005","-123.4250031","civil","442","Bushnell","Sheridan","Oregon","United States","219","5","1449","0"
"5OR3","44.730400085","-123.9150009","civil","396","Siletz","Siletz","Oregon","United States","99","5","1299","0"
"5OR4","42.434898376","-121.3499985","civil","792","Flying T Ranch","Sprague River","Oregon","United States","4339","5","2599","0"
"5OR5","44.034599304","-121.1179962","civil","805","Juniper Air Park","Bend","Oregon","United States","3489","4","2639","0"
"5OR8","44.773200989","-122.8499985","civil","762","Hatch","Stayton","Oregon","United States","379","5","2499","0"
"5OR9","44.776798248","-122.7600021","civil","518","Lone Oaks Ranch","Stayton","Oregon","United States","629","5","1699","0"
"5P2","45.796798706","-100.7839966","civil","1157","McLaughlin Mun","McLaughlin","South Dakota","United States","2005","1","3796","0"
"5P3","45.439399719","-99.67510223","civil","1097","Bowdle Mun","Bowdle","South Dakota","United States","1966","5","3599","0"
"5P5","43.906398773","-100.0370026","civil","1021","Presho Mun","Presho","South Dakota","United States","1759","5","3349","0"
"5PA0","40.800098419","-76.11219788","civil","1935","Bendinsky","Mahanoy City","Pennsylvania","United States","1769","6","4049","0"
"5PA1","40.997299194","-76.38379669","civil","488","Broadt Personal Use","Mainville","Pennsylvania","United States","919","5","1599","0"
"5PA2","41.035900116","-76.0223999","civil","559","Crosswind Acres","St John's","Pennsylvania","United States","1139","5","1834","0"
"5PA3","40.166801453","-76.39969635","civil","610","Metzler","Manheim","Pennsylvania","United States","419","5","1999","0"
"5PA6","41.93119812","-79.146698","civil","503","Shield Farm","Russell","Pennsylvania","United States","1239","5","1649","0"
"5PA8","41.550098419","-76.04959869","civil","549","Chambers","Mehoopany","Pennsylvania","United States","1039","5","1799","0"
"5PA9","41.188400269","-79.28230286","civil","472","Taylor Flight Park","Strattanville","Pennsylvania","United States","1579","4","1549","0"
"5PN5","39.742298126","-77.53530121","civil","427","Bittner-Whitsel","Rouzerville","Pennsylvania","United States","239","5","1399","0"
"5PN7","40.233299255","-75.07499695","civil","2801","Jarrett","Ivyland","Pennsylvania","United States","209","1","7990","0"
"5PS4","40.342601776","-75.57820129","civil","1067","Hansen","Sassamansville","Pennsylvania","United States","319","5","1799","0"
"5PS5","40.396800995","-77.07409668","civil","518","Chestnut Hill","Duncannon","Pennsylvania","United States","619","5","1699","0"
"5PS9","40.385101318","-75.33300018","civil","450","Tate","West Rockhill","Pennsylvania","United States","569","5","1475","0"
"5QC","65.405899048","-164.6560059","civil","902","Quartz Creek Kougarok","Quartz Creek","Alaska","United States","415","6","2959","0"
"5R1","31.451799393","-88.19450378","civil","1219","Wilcox","Chatom","Alabama","United States","164","1","3999","0"
"5R2","30.389400482","-88.75340271","civil","1067","Ocean Springs","Ocean Springs","Mississippi","United States","19","1","3499","0"
"5R3","30.498600006","-97.96949768","civil","1163","Lago Vista-Allen","Lampasas","Texas","United States","1230","1","3814","0"
"5R4","30.427700043","-87.70079803","civil","1130","Foley Mun","Foley","Alabama","United States","73","1","3707","0"
"5R5","29.254299164","-96.15440369","civil","1528","Wharton Regl","Wharton","Texas","United States","99","1","5012","0"
"5R7","30.45459938","-88.21060181","civil","610","Ray","Bayou La Batre","Alabama","United States","79","5","1999","0"
"5R8","30.441200256","-93.47350311","civil","1526","De Quincy Industrial","De Quincy","Louisiana","United States","80","1","5006","0"
"5S0","43.752601624","-122.5029984","civil","1100","Oakridge State","Oakridge","Oregon","United States","1392","1","3609","0"
"5S1","43.22480011","-123.3970032","civil","701","Felt","Roseburg","Oregon","United States","427","5","2299","0"
"5S2","43.532600403","-121.9499969","civil","1146","Crescent Lake State","Crescent Lake","Oregon","United States","4809","4","3759","0"
"5S4","44.60100174","-123.9400024","civil","533","Toledo State","Toledo","Oregon","United States","6","1","1749","0"
"5S5","44.519298553","-121.3209991","civil","1524","Lake Billy Chinook State","Culver","Oregon","United States","2694","4","4999","0"
"5S6","42.857898712","-124.5179977","civil","1554","Cape Blanco State","Denmark","Oregon","United States","213","1","5099","0"
"5S8","63.490100861","-162.1100006","civil","1216","St. Michael","St. Michael","Alaska","United States","92","6","3988","0"
"5S9","45.308200836","-122.3190002","civil","1152","Valley View","Estacada","Oregon","United States","734","1","3779","0"
"5T0","29.503099442","-95.93499756","civil","948","Ward","Beasley","Texas","United States","104","5","3109","0"
"5T4","45.854198456","-100.0749969","civil","680","Herreid Mun","Herreid","South Dakota","United States","1724","5","2229","0"
"5T5","32.083499908","-97.09719849","civil","1219","Hillsboro Mun","Hillsboro","Texas","United States","684","1","3999","0"
"5T6","31.881000519","-106.7050018","civil","2589","Dona Ana Co At Santa Teresa","Santa Teresa","New Mexico","United States","4111","1","8492","0"
"5T9","28.857200623","-100.512001","civil","1676","Maverick Co Meml","Eldorado","Texas","United States","877","1","5499","0"
"5TA0","32.731998444","-102.9440002","civil","1128","Hamilton Aircraft, Inc","Seminole","Texas","United States","3519","5","3699","0"
"5TA1","31.193500519","-97.40720367","civil","671","Charping","Temple","Texas","United States","682","5","2199","0"
"5TA2","31.45459938","-97.25029755","civil","792","Rabbit Run","Waco","Texas","United States","739","5","2599","0"
"5TA3","29.358600616","-97.1446991","civil","671","Pearson Ranch Private","Yoakum","Texas","United States","349","5","2199","0"
"5TA4","34.900100708","-101.3170013","civil","1707","Reed","Claude","Texas","United States","3368","5","3099","0"
"5TA5","29.336099625","-95.11519623","civil","792","Creasy","Santa Fe","Texas","United States","22","5","2599","0"
"5TA6","31.934400558","-99.89430237","civil","792","Knot 2 Shabby","Winters","Texas","United States","1819","5","2599","0"
"5TA7","29.420799255","-95.15910339","civil","427","Kami-Kazi","Santa Fe","Texas","United States","24","5","1399","0"
"5TA8","32.013301849","-95.92829895","civil","610","Deer Meadow Ranch","Athens","Texas","United States","519","5","1999","0"
"5TA9","32.609901428","-96.52690125","civil","815","Seagoville","Seagoville","Texas","United States","414","2","2674","0"
"5TE0","28.628000259","-100.1589966","civil","1676","Comanche Ranch","Eldorado","Texas","United States","729","1","5499","0"
"5TE1","29.65019989","-103.9499969","civil","2902","Rawls Ranch","Marfa","Texas","United States","4519","4","3721","0"
"5TE2","30.225200653","-98.14199829","civil","853","Bleakley Ranch","Eagle Pass","Texas","United States","1383","6","2799","0"
"5TE3","30.271900177","-98.11699677","civil","671","Alexander Ranch","Eagle Pass","Texas","United States","1249","5","2199","0"
"5TE4","36.508399963","-102.3919983","civil","1311","Perkins-Prothro Cimarron Ranch","Kerrick","Texas","United States","3994","1","4299","0"
"5TE5","30.273799896","-103.2369995","civil","1219","Iron Mountain Ranch","Marathon","Texas","United States","4312","1","3999","0"
"5TE6","29.773599625","-95.80380249","civil","1219","Horn-Katy Hawk Intl","Katy","Texas","United States","132","5","3999","0"
"5TE7","29.719400406","-96.30940247","civil","975","Renz Ranch","Eagle Lake","Texas","United States","219","5","1599","0"
"5TE8","35.761199951","-100.7519989","civil","2012","Willis N Clark","Miami","Texas","United States","3085","5","4499","0"
"5TN9","36.113899231","-85.59500122","civil","762","One Grand Field","Cookeville","Tennessee","United States","999","5","2499","0"
"5TS0","29.412500381","-95.12239838","civil","579","Diehl Ranch","Arcadia","Texas","United States","25","5","1899","0"
"5TS1","28.205799103","-99.1344986","civil","1372","Uno Mas Ranch","Cotulla","Texas","United States","379","1","4499","0"
"5TS2","30.479400635","-97.31919861","civil","457","Chan-C","Coupland","Texas","United States","535","5","1499","0"
"5TS3","31.968799591","-96.6855011","civil","701","Hewett-Knapp","Dawson","Texas","United States","479","5","2299","0"
"5TS4","33.144599915","-97.60169983","civil","463","McEntire","Decatur","Texas","United States","789","5","1519","0"
"5TS5","28.651100159","-99.28869629","civil","610","McDonald Ranch","Dripping Springs","Texas","United States","554","5","1999","0"
"5TS7","31.776599884","-94.48549652","civil","762","R D Williams","Garrison","Texas","United States","359","5","2499","0"
"5TS8","29.808599472","-98.27249908","civil","549","Bear Creek Ranch","Niederwald","Texas","United States","1359","5","1799","0"
"5TS9","28.53030014","-96.52749634","civil","1128","Big Duke's Place","Indianola","Texas","United States","4","5","3699","0"
"5TX0","33.173500061","-97.05139923","civil","605","Hidden Valley Airpark","Lake Dallas","Texas","United States","610","1","1984","0"
"5TX1","31.861299515","-98.2594986","civil","533","Harley White Field","Lamkin","Texas","United States","1119","4","1749","0"
"5TX2","33.422298431","-96.21690369","civil","732","Grove Hill","Leonard","Texas","United States","720","5","2399","0"
"5TX4","33.033500671","-97.06700134","civil","701","Black Mark Strip","Lewisville","Texas","United States","634","5","2299","0"
"5TX6","33.016799927","-97.07250214","civil","579","Hilliard Landing Area","Lewisville","Texas","United States","634","5","1899","0"
"5TX8","33.032100677","-94.37940216","civil","1402","Boon/Lovelace","Linden","Texas","United States","428","5","2499","0"
"5TX9","29.583599091","-99.52619934","civil","1036","Utopia On The River","Uvalde","Texas","United States","1319","5","3399","0"
"5U0","47.320800781","-109.9420013","civil","777","Denton","Denton","Montana","United States","3591","5","2549","0"
"5U1","47.847198486","-111.697998","civil","954","Dutton","Dutton","Montana","United States","3698","5","3129","0"
"5U3","45.269001007","-111.6490021","civil","1433","Ennis-Big Sky","Ennis","Montana","United States","5382","1","4699","0"
"5U5","47.6291008","-111.9800034","civil","1623","Fairfield","Fairfield","Montana","United States","3988","1","3799","0"
"5U6","47.861099243","-104.072998","civil","914","Fairview","Fairview","Montana","United States","2151","5","2999","0"
"5U7","45.320800781","-107.9309998","civil","1166","Ft Smith","Ft Smith","Montana","United States","3241","1","3826","0"
"5U8","47.596599579","-110.2659988","civil","884","Geraldine","Geraldine","Montana","United States","3172","1","2899","0"
"5V4","39.047798157","-104.2919998","civil","1391","Calhan","Calhan","Colorado","United States","6449","5","4564","0"
"5V5","36.697799683","-108.7009964","civil","1475","Shiprock Airstrip","Shiprock","New Mexico","United States","5269","1","4839","0"
"5V6","40.244400024","-103.0940018","civil","1570","Gebauer","Akron","Colorado","United States","4508","5","2999","0"
"5V8","43.833301544","-101.4970016","civil","1280","Kadoka Mun","Kadoka","South Dakota","United States","2459","5","2599","0"
"5V9","37.001399994","-107.4229965","civil","899","Navajo","Arboles","Colorado","United States","6109","5","2949","0"
"5VA5","38.403499603","-77.31580353","civil","427","Chimney View","Fredericksburg","Virginia","United States","24","5","1399","0"
"5VA9","37.69260025","-76.31829834","civil","610","Kilmarnock/Tolbert Field","Kilmarnock","Virginia","United States","6","5","1999","0"
"5W1","47.424900055","-119.1149979","civil","937","Wilson Creek","Wilson Creek","Washington","United States","1439","1","3073","0"
"5W4","35.019901276","-79.19100189","civil","1038","P K Airpark","Raeford","North Carolina","United States","303","1","3404","0"
"5W5","35.620300293","-78.70030212","civil","916","Triple W","Raleigh","North Carolina","United States","243","1","3003","0"
"5W8","35.702899933","-79.50530243","civil","1526","Siler City Mun","Siler City","North Carolina","United States","613","1","5004","0"
"5WA0","48.595600128","-119.1009979","civil","808","Sourdough","Tonasket","Washington","United States","2639","5","2649","0"
"5WA1","46.521499634","-119.1790009","civil","427","Dorman Field","Mesa","Washington","United States","699","5","1399","0"
"5WA2","47.866500854","-121.901001","civil","549","B &amp; M Ranch","Monroe","Washington","United States","369","5","1799","0"
"5WA5","47.763198853","-120.1520004","civil","427","Ross Private Strip","Orondo","Washington","United States","919","4","1399","0"
"5WA7","45.716499329","-120.9850006","civil","701","Warwick","Centerville","Washington","United States","1619","5","2299","0"
"5WA8","47.042900085","-124.1460037","civil","1128","Hogan's Corner","Ocean Shores","Washington","United States","49","1","3699","0"
"5WA9","45.723899841","-122.5439987","civil","853","Brush Prairie Aerodrome","Brush Prairie","Washington","United States","289","5","2799","0"
"5WI0","44.702701569","-91.13379669","civil","762","Grandpa's Farm","Augusta","Wisconsin","United States","969","5","2499","0"
"5WI1","45.901901245","-91.67710114","civil","732","Springbrook","Springbrook","Wisconsin","United States","1109","5","2399","0"
"5WI2","44.222499847","-89.49539948","civil","326","Plainfield Intl","Plainfield","Wisconsin","United States","1109","5","1069","0"
"5WI3","43.207801819","-89.01709747","civil","610","Der Schwarzwald","Waterloo","Wisconsin","United States","924","5","1999","0"
"5WI4","45.081401825","-87.6792984","civil","792","Larson","Marinette","Wisconsin","United States","614","5","2599","0"
"5WI5","45.275001526","-89.4917984","civil","671","Haymeadow","Merrill","Wisconsin","United States","1499","5","2199","0"
"5WI6","44.366901398","-91.39579773","civil","671","Independence","Independence","Wisconsin","United States","803","5","2199","0"
"5WI8","45.076099396","-88.00430298","civil","579","Ermis-Ridgeview","Coleman","Wisconsin","United States","714","5","1899","0"
"5WI9","45.129699707","-88.16480255","civil","1189","Patz","Pound","Wisconsin","United States","859","5","2699","0"
"5XS0","33.496700287","-96.26470184","civil","457","Tnt","Randolph","Texas","United States","707","5","1499","0"
"5XS2","35.033401489","-102.1999969","civil","792","Kimball Farm Service Inc","Hereford","Texas","United States","3699","1","2599","0"
"5XS3","29.769699097","-94.26129913","civil","823","Wilber Farms","Winnie","Texas","United States","10","5","2699","0"
"5XS4","29.586299896","-98.11969757","civil","640","Gary's","Mason","Texas","United States","654","5","2099","0"
"5XS5","32.542800903","-95.70860291","civil","610","Brady Field","Van","Texas","United States","544","5","1999","0"
"5XS6","26.17539978","-97.87529755","civil","914","Old Reb","Mercedes","Texas","United States","59","1","2999","0"
"5XS7","34.229698181","-101.4639969","civil","817","Outback","Lockney","Texas","United States","3285","5","2679","0"
"5XS8","29.516899109","-100.3170013","civil","960","L Davis Ranch","Brackettville","Texas","United States","1389","5","3149","0"
"5XS9","31.921800613","-96.26499939","civil","1219","Byrt","Streetman","Texas","United States","413","5","3999","0"
"5Y0","44.670799255","-83.30410004","civil","671","Harrisville","Harrisville","Michigan","United States","674","5","2199","0"
"5Y1","46.035900116","-84.4197998","civil","1128","Lindberg","Hessel","Michigan","United States","759","1","3699","0"
"5Y2","44.329200745","-84.79170227","civil","838","Houghton Lake Heights","Houghton Heights","Michigan","United States","1164","5","2749","0"
"5Y3","42.853599548","-88.75980377","civil","769","Gutzmer's Twin Oaks","Whitewater","Wisconsin","United States","820","5","2523","0"
"5Y4","44.659999847","-84.23750305","civil","1463","Lost Creek","Luzerne","Michigan","United States","1050","5","2599","0"
"5Y5","42.797298431","-82.53739929","civil","792","David's Landing","St Clair","Michigan","United States","614","5","2599","0"
"5Y7","46.354099274","-86.6210022","civil","1219","Hanley","Munising","Michigan","United States","983","5","3999","0"
"5Z1","58.298900604","-134.4080048","water","3048","Juneau Harbor","Juneau","Alaska","United States","0","11","9999","3"
"5Z5","63.541698456","-150.9940033","civil","564","Kantishna","Kantishna","Alaska","United States","1574","6","1849","0"
"5Z7","59.468799591","-151.572998","civil","244","Kasitsna","Kasitsna Bay","Alaska","United States","4","6","799","7"
"5Z9","58.554798126","-155.7769928","water","999","Lake Brooks","Katmai National Park","Alaska","United States","35","11","4999","0"
"60A","31.733499527","-85.80470276","civil","914","Brundidge Mun","Brundidge","Alabama","United States","475","1","2999","0"
"60B","45.633399963","-70.2661972","water","999","Moose River","Jackman","Maine","United States","1156","11","9999","3"
"60C","43.706401825","-90.25759888","civil","940","Elroy Mun","Elroy","Wisconsin","United States","943","6","3084","0"
"60CL","38.598800659","-121.560997","civil","792","Chp Academy","Bryte","California","United States","19","1","1399","0"
"60CO","39.966701508","-104.651001","civil","777","Stevens","Hudson","Colorado","United States","5179","5","2549","0"
"60F","33.648700714","-99.26059723","civil","1312","Seymour Mun","Seymour","Texas","United States","1343","1","4303","0"
"60G","42.583599091","-84.65139771","civil","808","Skyway Estates","Eaton Rapids","Michigan","United States","930","5","2649","0"
"60IN","40.945899963","-85.37000275","civil","975","Fisher Farm","Roanoke","Indiana","United States","749","5","3199","0"
"60IS","38.400600433","-87.98860168","civil","1219","Nelson Private","Browns","Illinois","United States","419","5","3999","0"
"60J","33.908500671","-78.43669891","civil","1219","Ocean Isle","Ocean Isle Beach","North Carolina","United States","31","1","3999","0"
"60KS","37.513900757","-97.00029755","civil","366","Alley Field","Douglass","Kansas","United States","1259","5","1199","0"
"60M","42.291801453","-71.96199799","civil","588","Spencer","Spencer","Massachusetts","United States","1039","6","1929","0"
"60MI","42.041400909","-83.56690216","civil","616","Maybee","Maybee","Michigan","United States","649","5","2019","0"
"60MN","44.467998505","-95.28359985","civil","792","Fuhr Flying Svc","Seaforth","Minnesota","United States","1069","5","2599","0"
"60NC","34.705200195","-77.05110168","civil","853","Star Hill Golf Club","Cape Carteret","North Carolina","United States","39","5","2799","0"
"60ND","47.87279892","-97.81620026","civil","732","Boulden Airstrip","Larimore","North Dakota","United States","1424","5","1499","0"
"60NJ","40.46680069","-74.832901","civil","853","O'Dwyer","Flemington","New Jersey","United States","199","5","2799","0"
"60OI","41.356700897","-82.62490082","civil","610","Zorn Acres","Milan","Ohio","United States","639","5","1999","0"
"60OK","35.122299194","-98.51979828","civil","805","Carlin Lawrence","Carnegie","Oklahoma","United States","1339","1","2639","0"
"60OR","43.426498413","-123.2799988","civil","610","Whitaker","Oakland","Oregon","United States","624","2","1999","0"
"60Q","38.7541008","-120.8990021","civil","549","Akin","Placerville","California","United States","1594","4","1799","0"
"60R","30.371900558","-96.11329651","civil","979","Navasota Mun","Navasota","Texas","United States","227","1","3211","0"
"60TA","32.325099945","-96.94750214","civil","1158","Air Ranch Estates","Waxahachie","Texas","United States","669","1","3799","0"
"60TE","30.133499146","-99.15029907","civil","914","Tierra Linda Ranch","Kingsland","Texas","United States","1989","1","2999","0"
"60TX","30.033599854","-96.26360321","civil","1097","P-K Ranch","Bellville","Texas","United States","349","2","3599","0"
"60Y","43.986801147","-95.7826004","civil","914","Slayton Mun","Slayton","Minnesota","United States","1622","1","2998","0"
"60Z","67.216201782","-149.9810028","civil","290","Myrtle Creek","Myrtle Creek","Alaska","United States","1669","2","949","0"
